Date,Away Team,Home Team,Away Final,Home Final,Away Record After,Home Record After,Away Rank Prior,Home Rank Prior
"Week 1, 2016",south alabama,kentucky,9.0,-9.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",massachusetts,florida,-17.0,17.0,(0-1),(1-0),Unranked,25
"Week 1, 2016",usc,fcs_team,-46.0,46.0,(0-1),(1-0),20,1
"Week 1, 2016",fcs_team,washington state,3.0,-3.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,fcs_team,-52.0,52.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",new mexico state,utep,-16.0,16.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,iowa state,5.0,-5.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fresno state,nebraska,-33.0,33.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,tcu,-18.0,18.0,(0-1),(1-0),Unranked,13
"Week 1, 2016",fcs_team,san diego state,-31.0,31.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",clemson,auburn,6.0,-6.0,(1-0),(0-1),2,Unranked
"Week 1, 2016",brigham young,arizona,2.0,-2.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",niu,fcs_team,0.0,0.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,fcs_team,-31.0,31.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,eastern michigan,-47.0,47.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,buffalo,6.0,-6.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",army,fcs_team,15.0,-15.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,michigan state,-15.0,15.0,(0-1),(1-0),Unranked,12
"Week 1, 2016",ball state,georgia state,10.0,-10.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,syracuse,-26.0,26.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,fcs_team,-48.0,48.0,(0-1),(1-0),Unranked,23
"Week 1, 2016",colorado state,colorado,-37.0,37.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",kansas state,stanford,-13.0,13.0,(0-1),(1-0),Unranked,8
"Week 1, 2016",toledo,arkansas state,21.0,-21.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,nevada,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",tulane,wake forest,-4.0,4.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,central michigan,-46.0,46.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",charlotte,louisville,-56.0,56.0,(0-1),(1-0),Unranked,19
"Week 1, 2016",fcs_team,connecticut,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,cincinnati,-21.0,21.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,fcs_team,-34.0,34.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",app,fcs_team,-7.0,7.0,(0-1),(1-0),Unranked,9
"Week 1, 2016",fcs_team,fiu,21.0,-21.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,utah state,-39.0,39.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",rice,western kentucky,-32.0,32.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,utah,-24.0,24.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",south carolina,vanderbilt,3.0,-3.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,new mexico,-27.0,27.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",oregon state,minnesota,-7.0,7.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,idaho,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",fcs_team,unlv,-50.0,50.0,(0-0),(0-0),Unranked,Unranked
"Week 1, 2016",hawaii,california,-20.0,20.0,(0-2),(1-0),Unranked,Unranked
"Week 2, 2016",fcs_team,hawaii,-5.0,5.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",wyoming,nebraska,-35.0,35.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,minnesota,-30.0,30.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",central michigan,fcs_team,3.0,-3.0,(2-0),(1-1),Unranked,22
"Week 2, 2016",fcs_team,fcs_team,-67.0,67.0,(1-1),(2-0),Unranked,20
"Week 2, 2016",rice,army,-17.0,17.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,rutgers,-38.0,38.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,houston,-42.0,42.0,(0-0),(0-0),Unranked,6
"Week 2, 2016",fcs_team,georgia,-2.0,2.0,(0-1),(2-0),Unranked,9
"Week 2, 2016",nc state,east carolina,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",cincinnati,purdue,18.0,-18.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",boston college,massachusetts,19.0,-19.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",ucf,michigan,-37.0,37.0,(1-1),(2-0),Unranked,5
"Week 2, 2016",penn state,pittsburgh,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,fcs_team,-44.0,44.0,(1-2),(2-0),Unranked,3
"Week 2, 2016",troy,clemson,-6.0,6.0,(1-1),(2-0),Unranked,2
"Week 2, 2016",fcs_team,temple,-38.0,38.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,usc,-38.0,38.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,fcs_team,-17.0,17.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",georgia state,air force,-34.0,34.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",ohio,kansas,16.0,-16.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,georgia tech,-25.0,25.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",western kentucky,fcs_team,-28.0,28.0,(1-1),(2-0),Unranked,1
"Week 2, 2016",tulsa,ohio state,-45.0,45.0,(1-1),(2-0),Unranked,4
"Week 2, 2016",fcs_team,northwestern,2.0,-2.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",akron,wisconsin,-44.0,44.0,(1-1),(2-0),Unranked,10
"Week 2, 2016",nevada,notre dame,-29.0,29.0,(1-1),(1-1),Unranked,18
"Week 2, 2016",smu,fcs_team,-27.0,27.0,(1-1),(2-0),Unranked,23
"Week 2, 2016",fcs_team,miami (ohio),4.0,-4.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,app,-24.0,24.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,bowling green,-1.0,1.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",wake forest,duke,10.0,-10.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",connecticut,navy,-4.0,4.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",kentucky,florida,-38.0,38.0,(0-2),(2-0),Unranked,Unranked
"Week 2, 2016",utsa,colorado state,-9.0,9.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",middle tennessee state,fcs_team,-23.0,23.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,ole miss,-25.0,25.0,(1-1),(1-1),Unranked,19
"Week 2, 2016",ball state,indiana,-10.0,10.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,san jose state,-31.0,31.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",idaho,washington,-45.0,45.0,(1-1),(2-0),Unranked,8
"Week 2, 2016",fcs_team,colorado,-49.0,49.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fau,michigan,-28.0,28.0,(1-1),(2-0),Unranked,25
"Week 2, 2016",fcs_team,marshall,-62.0,62.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,fcs_team,0.0,0.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,charlotte,-33.0,33.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,south alabama,-56.0,56.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",ul monroe,fcs_team,-42.0,42.0,(1-1),(1-1),Unranked,14
"Week 2, 2016",utep,texas,-34.0,34.0,(1-1),(2-0),Unranked,11
"Week 2, 2016",georgia southern,fcs_team,15.0,-15.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,north texas,-21.0,21.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",arkansas,tcu,0.0,0.0,(2-0),(1-1),Unranked,15
"Week 2, 2016",niu,fcs_team,-31.0,31.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,mississippi state,-13.0,13.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,toledo,-42.0,42.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,western michigan,-49.0,49.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,ul lafayette,-8.0,8.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,fcs_team,-29.0,29.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,lsu,-21.0,21.0,(1-1),(1-1),Unranked,21
"Week 2, 2016",brigham young,utah,-1.0,1.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",eastern michigan,fcs_team,-40.0,40.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",iowa state,iowa,-39.0,39.0,(0-2),(2-0),Unranked,16
"Week 2, 2016",arkansas state,auburn,-37.0,37.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",north carolina,illinois,25.0,-25.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,new mexico state,-1.0,1.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",unlv,ucla,-21.0,21.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",virginia tech,tennessee,-21.0,21.0,(1-1),(2-0),Unranked,17
"Week 2, 2016",fcs_team,tulane,-45.0,45.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,fcs_team,-28.0,28.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",texas tech,arizona state,-13.0,13.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",washington state,fcs_team,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,san diego state,-5.0,5.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",virginia,oregon,-18.0,18.0,(0-2),(2-0),Unranked,24
"Week 2, 2016",fcs_team,arizona,-10.0,10.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",fcs_team,fiu,27.0,-27.0,(0-0),(0-0),Unranked,Unranked
"Week 2, 2016",louisville,syracuse,34.0,-34.0,(2-0),(1-1),13,Unranked
"Week 3, 2016",fcs_team,iowa,2.0,-2.0,(3-0),(2-1),Unranked,Unranked
"Week 3, 2016",michigan,app,35.0,-35.0,(3-0),(1-2),15,Unranked
"Week 3, 2016",kansas,memphis,-36.0,36.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",iowa state,tcu,-21.0,21.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",georgia state,wisconsin,-6.0,6.0,(0-3),(3-0),Unranked,11
"Week 3, 2016",new mexico,rutgers,-9.0,9.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",ohio,tennessee,-9.0,9.0,(1-2),(3-0),Unranked,14
"Week 3, 2016",temple,penn state,-7.0,7.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fcs_team,clemson,-59.0,59.0,(0-3),(3-0),Unranked,5
"Week 3, 2016",middle tennessee state,bowling green,20.0,-20.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",akron,marshall,27.0,-27.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",florida state,louisville,-43.0,43.0,(2-1),(3-0),13,3
"Week 3, 2016",vanderbilt,georgia tech,-31.0,31.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",virginia,connecticut,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",idaho,washington state,-50.0,50.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fcs_team,tulsa,-37.0,37.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fau,kansas state,-56.0,56.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fcs_team,ball state,-27.0,27.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fresno state,toledo,-35.0,35.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",unlv,central michigan,-23.0,23.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",oregon,nebraska,-3.0,3.0,(2-1),(3-0),Unranked,20
"Week 3, 2016",san diego state,niu,14.0,-14.0,(0-0),(0-0),22,Unranked
"Week 3, 2016",alabama,ole miss,5.0,-5.0,(3-0),(1-2),1,23
"Week 3, 2016",boston college,virginia tech,-49.0,49.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",pittsburgh,oklahoma state,-7.0,7.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fcs_team,north carolina,-28.0,28.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fcs_team,kent state,-20.0,20.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",south florida,syracuse,25.0,-25.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fiu,massachusetts,-8.0,8.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",western kentucky,miami (ohio),7.0,-7.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",colorado,michigan,-17.0,17.0,(2-1),(3-0),Unranked,4
"Week 3, 2016",fcs_team,wyoming,-23.0,23.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fcs_team,colorado state,-26.0,26.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",new mexico state,kentucky,-20.0,20.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",western michigan,illinois,24.0,-24.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",east carolina,south carolina,-5.0,5.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fcs_team,oregon state,-30.0,30.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",old dominion,nc state,-27.0,27.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",ul monroe,georgia southern,-2.0,2.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",eastern michigan,charlotte,18.0,-18.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fcs_team,wake forest,-17.0,17.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",navy,tulane,7.0,-7.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",louisiana tech,texas tech,-14.0,14.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",south alabama,ul lafayette,-5.0,5.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",troy,south alabama,6.0,-6.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",army,utep,52.0,-52.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",fcs_team,smu,-15.0,15.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",maryland,ucf,0.0,0.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",texas a&m,auburn,13.0,-13.0,(3-0),(1-2),10,Unranked
"Week 3, 2016",mississippi state,lsu,-3.0,3.0,(1-2),(2-1),Unranked,18
"Week 3, 2016",georgia,missouri,1.0,-1.0,(3-0),(1-2),12,Unranked
"Week 3, 2016",texas state,arkansas,-39.0,39.0,(1-1),(3-0),Unranked,17
"Week 3, 2016",michigan state,notre dame,8.0,-8.0,(2-0),(1-2),8,Unranked
"Week 3, 2016",north texas,florida,-32.0,32.0,(1-2),(3-0),Unranked,19
"Week 3, 2016",fcs_team,washington,-38.0,38.0,(1-2),(3-0),Unranked,9
"Week 3, 2016",usc,stanford,-17.0,17.0,(1-2),(2-0),Unranked,7
"Week 3, 2016",duke,northwestern,-11.0,11.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",buffalo,nevada,-24.0,24.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",ohio state,oklahoma,21.0,-21.0,(3-0),(1-2),2,25
"Week 3, 2016",ucla,brigham young,3.0,-3.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",utah,san jose state,17.0,-17.0,(0-0),(0-0),24,Unranked
"Week 3, 2016",texas,california,-7.0,7.0,(2-1),(2-1),21,Unranked
"Week 3, 2016",hawaii,arizona,-19.0,19.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",baylor,rice,28.0,-28.0,(3-0),(0-3),16,Unranked
"Week 3, 2016",arkansas state,utah state,-14.0,14.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",arizona state,utsa,4.0,-4.0,(0-0),(0-0),Unranked,Unranked
"Week 3, 2016",houston,cincinnati,24.0,-24.0,(3-0),(2-1),6,Unranked
"Week 4, 2016",wisconsin,michigan state,24.0,-24.0,(4-0),(2-1),11,8
"Week 4, 2016",georgia,ole miss,-31.0,31.0,(3-1),(2-2),12,23
"Week 4, 2016",iowa,rutgers,7.0,-7.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",san jose state,iowa state,-34.0,34.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",colorado state,minnesota,-7.0,7.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",kent state,alabama,-48.0,48.0,(1-3),(4-0),Unranked,1
"Week 4, 2016",florida state,south florida,20.0,-20.0,(3-1),(3-1),13,Unranked
"Week 4, 2016",nevada,purdue,-10.0,10.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",charlotte,temple,-28.0,28.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",east carolina,virginia tech,-37.0,37.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",central michigan,virginia,-14.0,14.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",syracuse,connecticut,7.0,-7.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",fcs_team,boston college,-32.0,32.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",fcs_team,ohio,-16.0,16.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",florida,tennessee,-10.0,10.0,(3-1),(4-0),19,14
"Week 4, 2016",utsa,old dominion,-14.0,14.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",brigham young,west virginia,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",fcs_team,niu,5.0,-5.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",boise state,oregon state,14.0,-14.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",app,akron,7.0,-7.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",duke,notre dame,3.0,-3.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",miami (ohio),cincinnati,-7.0,7.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",pittsburgh,north carolina,-1.0,1.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",wake forest,indiana,5.0,-5.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",mississippi state,massachusetts,12.0,-12.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",penn state,michigan,-39.0,39.0,(2-2),(4-0),Unranked,4
"Week 4, 2016",fcs_team,missouri,-79.0,79.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",tulsa,fresno state,7.0,-7.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",vanderbilt,western kentucky,1.0,-1.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",colorado,oregon,3.0,-3.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",lsu,auburn,-5.0,5.0,(2-2),(2-2),18,Unranked
"Week 4, 2016",north texas,rice,0.0,0.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",ball state,fau,4.0,-4.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",fcs_team,south alabama,-1.0,1.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",houston,texas state,61.0,-61.0,(4-0),(1-2),6,Unranked
"Week 4, 2016",louisiana tech,middle tennessee state,-4.0,4.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",new mexico state,troy,-46.0,46.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",ucf,fiu,39.0,-39.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",army,buffalo,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",georgia southern,western michigan,-18.0,18.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",fcs_team,arkansas state,5.0,-5.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",fcs_team,kansas state,-35.0,35.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",south carolina,kentucky,-7.0,7.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",nebraska,northwestern,11.0,-11.0,(4-0),(1-3),20,Unranked
"Week 4, 2016",oklahoma state,baylor,-11.0,11.0,(2-2),(4-0),Unranked,16
"Week 4, 2016",southern miss,utep,27.0,-27.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",ul lafayette,tulane,0.0,0.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",stanford,ucla,9.0,-9.0,(3-0),(2-2),7,Unranked
"Week 4, 2016",louisville,marshall,31.0,-31.0,(4-0),(1-2),3,Unranked
"Week 4, 2016",bowling green,memphis,-74.0,74.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",idaho,unlv,3.0,-3.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",arkansas,texas a&m,-21.0,21.0,(3-1),(4-0),17,10
"Week 4, 2016",california,arizona state,-10.0,10.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",air force,utah state,7.0,-7.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",washington,arizona,7.0,-7.0,(4-0),(2-2),9,Unranked
"Week 4, 2016",wyoming,eastern michigan,-3.0,3.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",tcu,smu,30.0,-30.0,(0-0),(0-0),Unranked,Unranked
"Week 4, 2016",usc,utah,-4.0,4.0,(1-3),(4-0),Unranked,24
"Week 4, 2016",clemson,georgia tech,19.0,-19.0,(4-0),(3-1),5,Unranked
"Week 5, 2016",nevada,hawaii,-21.0,21.0,(2-3),(2-3),Unranked,Unranked
"Week 5, 2016",baylor,iowa state,3.0,-3.0,(5-0),(1-4),13,Unranked
"Week 5, 2016",texas,oklahoma state,-18.0,18.0,(2-2),(3-2),22,Unranked
